neuron,category,formula,threshold
362,((((((color AND scene) OR scene OR object) AND NOT object) OR scene OR object OR scene) AND NOT object) OR scene),((((((blue-c AND skyscraper-s) OR bowling alley-s OR pool table) AND NOT skyscraper) OR television studio-s OR swimming pool OR desert-vegetation-s) AND NOT building) OR oasis-s),4.4
363,((scene OR scene OR scene OR scene OR scene OR scene OR scene) AND NOT object),((wheat field-s OR corn field-s OR sandbar-s OR bayou-s OR field road-s OR desert-sand-s OR excavation-s) AND NOT embankment),3.8
364,(((((scene AND object) OR scene OR scene OR scene) AND NOT object) OR object OR scene OR object) AND NOT scene),(((((conference room-s AND table) OR greenhouse-indoor-s OR atrium-public-s OR hangar-indoor-s) AND NOT floor) OR greenhouse OR basketball court-indoor-s OR vault) AND NOT cloister-indoor-s),4.5
365,(object OR scene OR scene OR scene OR scene OR scene OR object OR object OR scene OR scene),(person OR volleyball court-outdoor-s OR ski slope-s OR ice skating rink-indoor-s OR rope bridge-s OR badminton court-outdoor-s OR telephone booth OR playground OR badminton court-indoor-s OR subway station-platform-s),4.4
366,(scene OR scene OR object OR scene OR object OR object OR scene OR object OR object OR part),(airport terminal-s OR supermarket-s OR signboard OR kiosk-indoor-s OR trade name OR washing machines OR movie theater-outdoor-s OR bowling alley OR bulletin board OR shop window),4.4
367,((((scene OR scene OR scene OR object OR scene) AND NOT object) OR scene OR object OR scene) AND NOT color),((((corridor-s OR medina-s OR cloister-indoor-s OR mosque OR atrium-public-s) AND NOT ceiling) OR cargo container interior-s OR catwalk OR elevator shaft-s) AND NOT pink-c),4.1
368,(((scene OR object) AND NOT object) OR object),(((windmill-s OR fan) AND NOT earth) OR windmill),4.4
369,(((((scene OR object OR object OR object OR object) AND NOT object) OR object) AND NOT object) OR object OR object),(((((nursery-s OR railing OR playground OR cradle OR bannister) AND NOT bed) OR lockers) AND NOT door) OR grille door OR cradle),4.4
370,(scene OR scene OR scene OR scene OR object OR scene OR object OR scene OR object OR scene),(ball pit-s OR playroom-s OR sandbox-s OR jacuzzi-indoor-s OR aquarium OR day care center-s OR baptismal font OR kindergarden classroom-s OR inflatable bounce game OR hot spring-s),2.9
371,(((scene OR object OR object OR object OR object OR object) AND NOT color) OR object),(((closet-s OR washer OR stove OR washing machines OR dishwasher OR microwave) AND NOT orange-c) OR tumble dryer),5.4
372,((object OR scene OR scene OR scene OR scene OR object OR scene) AND NOT (object OR object)),((rubbish OR rubble-s OR junkyard-s OR slum-s OR junk pile-s OR steam shovel OR bazaar-outdoor-s) AND NOT (plant OR apparel)),3.9
373,((((color AND object) OR scene OR object OR scene OR scene OR scene OR scene) AND NOT color) OR scene),((((yellow-c AND wall) OR corridor-s OR bowling alley OR checkout counter-s OR landing-s OR bank-indoor-s OR laundromat-s) AND NOT orange-c) OR corridor-s),4.8
374,(((scene OR object OR scene OR object OR object OR object OR part OR object) AND NOT scene) OR object),(((ice skating rink-indoor-s OR sink OR ice cream parlor-s OR bathtub OR countertop OR ice rink OR water tank OR washer) AND NOT laundromat-s) OR tumble dryer),4.6
375,(object OR part OR scene OR object OR object OR scene OR object OR object OR scene OR object),(case OR shop window OR butchers shop-s OR animal OR box office OR newsstand-outdoor-s OR cow OR sculpture OR kiosk-outdoor-s OR display window),3.5
376,(scene OR scene OR object OR scene OR part OR part OR object),(subway interior-s OR airplane cabin-s OR washer OR bus interior-s OR water tank OR lid OR washing machines),4.4
377,(object OR scene OR scene OR scene OR scene OR part OR object OR object OR scene OR scene),(pool table OR elevator-door-s OR archive-s OR fitting room-interior-s OR elevator-interior-s OR garage door OR manhole OR folding door OR doorway-outdoor-s OR catacomb-s),3.6
378,((object OR scene OR object OR scene OR object OR object OR object OR object OR object) AND NOT object),((bridge OR viaduct-s OR aqueduct OR arch-s OR tunnel OR carport OR service station OR covered bridge OR trestle) AND NOT road),4.8
379,(scene OR scene OR object OR scene OR object OR object OR part OR object OR part OR scene),(gymnasium-indoor-s OR music studio-s OR swivel chair OR desert-vegetation-s OR television camera OR equipment OR water tank OR bicycle OR lid OR oasis-s),4.2
380,(((object OR scene OR object OR object OR object OR object OR object OR scene) AND NOT scene) OR scene),(((tent OR cubicle-office-s OR washer OR big top OR washing machines OR tumble dryer OR henhouse OR call center-s) AND NOT bathroom-s) OR shed-s),4.9
381,((((object OR object OR scene OR scene OR object OR scene) AND NOT object) OR object OR object) AND NOT object),((((house OR pool table OR swimming pool-outdoor-s OR dolmen-s OR island OR house-s) AND NOT sky) OR vineyard OR house) AND NOT tree),4.5
382,(((((((object OR object) AND scene) OR object OR object) AND NOT (part OR part)) OR object) AND NOT object) OR object),(((((((bed OR curtain) AND bedroom-s) OR canopy OR tent) AND NOT (footboard OR headboard)) OR pillow) AND NOT wall) OR big top),5.5
383,((scene OR object OR scene OR object OR scene OR part OR part OR object OR object) AND NOT object),((garage-indoor-s OR washer OR auto showroom-s OR bicycle OR workshop-s OR wheel OR garage door OR washing machines OR minibike) AND NOT wardrobe),4.6
384,(((((((scene OR object OR scene) AND NOT object) OR object OR object) AND NOT object) OR object) AND NOT object) OR object),(((((((closet-s OR apparel OR clothing store-s) AND NOT door) OR jersey OR trouser) AND NOT pedestal) OR rack) AND NOT bed) OR jacket),5.2
385,((object OR object OR object OR object OR object OR object OR scene) AND NOT scene),((autobus OR railroad train OR truck OR tunnel OR viaduct OR caravan OR bus depot-outdoor-s) AND NOT junkyard-s),3.4
386,((object OR scene OR scene OR scene OR object OR object OR object OR object OR object) AND NOT scene),((hovel OR slum-s OR medina-s OR bazaar-outdoor-s OR caravan OR shelter OR service station OR shanties OR truck) AND NOT street-s),4.0
387,(scene OR scene OR scene OR object OR scene OR scene OR object OR object OR scene OR scene),(sauna-s OR barn-s OR fence-s OR covered bridge OR shed-s OR fort-s OR hovel OR lockers OR wheat field-s OR hayfield-s),4.2
388,((((object OR object) AND scene) OR scene OR scene OR scene OR scene) AND NOT object),((((chair OR table) AND dining room-s) OR bistro-indoor-s OR cafeteria-s OR lecture room-s OR beer garden-s) AND NOT person),7.0
389,(((((scene OR scene OR scene OR object OR scene OR scene) AND NOT color) OR object) AND NOT object) OR object),(((((castle-s OR lighthouse-s OR donjon-s OR telephone booth OR cottage-s OR abbey-s) AND NOT green-c) OR watchtower) AND NOT tree) OR tower),5.0
390,(((scene OR scene OR scene OR scene OR scene OR object OR object) AND NOT object) OR scene OR object),(((amusement park-s OR planetarium-outdoor-s OR geodesic dome-outdoor-s OR nuclear power plant-outdoor-s OR control tower-outdoor-s OR bulldozer OR steam shovel) AND NOT earth) OR hangar-outdoor-s OR rubbish),4.5
391,((scene OR scene OR scene OR object OR object OR object OR object OR part OR object) AND NOT object),((art gallery-s OR gymnasium-indoor-s OR clothing store-s OR acropolis OR cushion OR ruins OR animal OR shaft OR sculpture) AND NOT shelf),4.4
392,(scene OR scene OR object OR scene OR object OR object OR object OR scene OR scene OR object),(shoe shop-s OR hayfield-s OR animal OR boxing ring-s OR swivel chair OR cow OR ice rink OR wrestling ring-indoor-s OR catwalk-s OR horse),4.0
393,(((((((object AND color) OR scene OR object) AND NOT object) OR scene) AND NOT scene) OR object OR object) AND NOT object),(((((((windowpane AND white-c) OR baseball field-s OR cradle) AND NOT building) OR car dealership-s) AND NOT kitchen-s) OR greenhouse OR towel) AND NOT door),4.0
394,((((scene OR object OR object OR object) AND NOT object) OR object) AND NOT scene),((((attic-s OR tent OR dome OR greenhouse) AND NOT bed) OR tunnel) AND NOT planetarium-outdoor-s),5.8
395,((((scene OR scene OR scene OR scene OR object OR scene OR scene) AND NOT object) OR scene) AND NOT scene),((((cockpit-s OR bus interior-s OR cubicle-office-s OR car interior-backseat-s OR escalator OR subway interior-s OR airplane cabin-s) AND NOT ceiling) OR bus interior-s) AND NOT airport terminal-s),3.5
396,(scene OR scene OR scene OR scene OR scene OR object OR scene OR scene OR object OR scene),(closet-s OR shoe shop-s OR clothing store-s OR beauty salon-s OR bazaar-outdoor-s OR television camera OR auto mechanics-indoor-s OR music studio-s OR minibike OR television studio-s),4.2
397,(((((object AND color) OR part) AND NOT scene) OR part OR part) AND NOT scene),(((((windowpane AND white-c) OR sash) AND NOT living room-s) OR lower sash OR upper sash) AND NOT dinette-vehicle-s),5.4
398,((scene OR scene OR object OR scene OR scene OR object OR part OR scene OR object) AND NOT scene),((elevator shaft-s OR fire escape-s OR escalator OR covered bridge-interior-s OR wrestling ring-indoor-s OR elevator OR column OR boxing ring-s OR scaffolding) AND NOT street-s),3.4
399,((scene OR scene OR scene OR scene OR object OR scene OR scene OR object OR scene) AND NOT scene),((florist shop-indoor-s OR florist shop-outdoor-s OR jacuzzi-indoor-s OR swimming pool-outdoor-s OR flower OR jacuzzi-outdoor-s OR shed-s OR hot tub OR yard-s) AND NOT cottage garden-s),5.7
400,(scene AND NOT (object OR object OR color OR object OR color OR object OR color OR color OR object)),(living room-s AND NOT (wall OR floor OR orange-c OR table OR white-c OR chair OR red-c OR grey-c OR cabinet)),6.9
401,((((((object AND scene) AND NOT (color OR color OR object)) OR scene) AND NOT color) OR part) AND NOT (color OR object)),((((((building AND street-s) AND NOT (black-c OR blue-c OR windowpane)) OR fire escape-s) AND NOT green-c) OR balcony) AND NOT (pink-c OR tree)),4.6
402,((object AND color AND scene) OR part OR scene OR scene OR object OR object OR scene OR scene),((road AND grey-c AND street-s) OR shop window OR bowling alley-s OR subway station-platform-s OR central reservation OR railway OR shopfront-s OR liquor store-outdoor-s),4.9
403,((((scene OR object OR scene OR scene OR scene OR object) AND NOT (object OR object)) OR scene) AND NOT object),((((desert-sand-s OR tent OR oasis-s OR butte-s OR canyon-s OR badlands) AND NOT (rock OR land)) OR sandbar-s) AND NOT sky),3.7
404,(((((((object OR object) AND NOT scene) OR object OR object OR scene) AND NOT object) OR scene) AND NOT object) OR object),(((((((house OR hovel) AND NOT house-s) OR shanties OR shelter OR fort-s) AND NOT tree) OR chalet-s) AND NOT grass) OR hovel),4.1
405,(scene OR scene OR scene OR object OR object OR object OR object OR object),(gas station-s OR boxing ring-s OR wrestling ring-indoor-s OR telephone booth OR service station OR gas station OR gas pump OR lighthouse),4.1
406,(scene OR object OR scene OR scene OR scene OR object OR object OR scene OR scene OR object),(excavation-s OR embankment OR theater-indoor procenium-s OR earth fissure-s OR corn field-s OR steam shovel OR bulldozer OR funeral chapel-s OR conference center-s OR rubble),4.1
407,(object OR object OR scene OR scene OR object OR object OR object OR object OR object OR object),(toilet OR sink OR shower-s OR fitting room-interior-s OR screen door OR elevator door OR water tower OR shower OR gravestone OR bowl),4.1
408,((scene OR scene OR scene OR part OR scene OR scene) AND NOT object),((corridor-s OR hallway-s OR cloister-indoor-s OR lid OR catacomb-s OR covered bridge-interior-s) AND NOT double door),4.5
409,((scene OR scene OR scene OR scene OR scene) AND NOT object),((art gallery-s OR ballroom-s OR martial arts gym-s OR parking garage-indoor-s OR artists loft-s) AND NOT railing),5.1
410,((((((scene OR scene OR scene) AND NOT object) OR scene OR scene) AND NOT color) OR scene) AND NOT object),((((((mountain snowy-s OR ski resort-s OR forest-needleleaf-s) AND NOT snow) OR chalet-s OR hunting lodge-outdoor-s) AND NOT green-c) OR forest-needleleaf-s) AND NOT field),4.6
411,(((((((object AND scene) OR object) AND NOT part) OR object OR object) AND NOT color) OR part OR part) AND NOT scene),(((((((bed AND bedroom-s) OR pillow) AND NOT footboard) OR plane OR stretcher) AND NOT red-c) OR lid OR headboard) AND NOT childs room-s),5.0
412,(((object OR object OR scene OR scene OR object OR object OR object OR object) AND NOT object) OR scene),(((pool table OR machine OR auto factory-s OR bank vault-s OR cannon OR instrument panel OR telescope OR television camera) AND NOT floor) OR auto showroom-s),4.9
413,(((scene OR object OR object OR object OR object OR scene OR object OR scene) AND NOT scene) OR scene),(((mosque-outdoor-s OR court OR tennis court OR tower OR lighthouse OR church-outdoor-s OR big top OR kasbah-s) AND NOT castle-s) OR cathedral-outdoor-s),4.7
414,(scene OR scene OR object OR scene OR scene OR scene OR object OR scene),(auditorium-s OR movie theater-indoor-s OR computer OR conference center-s OR lecture room-s OR witness stand-s OR silver screen OR theater-indoor procenium-s),4.2
415,(((scene OR scene OR object OR object OR scene OR object OR object OR part) AND NOT scene) OR scene),(((pagoda-s OR parking garage-outdoor-s OR autobus OR stairway OR military hut-s OR lighthouse OR terraces OR riser) AND NOT street-s) OR control tower-outdoor-s),4.0
416,((((scene OR object OR object OR object) AND NOT scene) OR part OR scene) AND NOT (object OR scene OR object)),((((beach-s OR sand OR palm OR semidesert ground) AND NOT desert-sand-s) OR shaft OR oasis-s) AND NOT (rock OR coast-s OR tree)),4.6
417,(scene OR scene OR scene OR scene OR scene OR scene OR scene OR scene OR object OR scene),(bakery-shop-s OR classroom-s OR food court-s OR fastfood restaurant-s OR cafeteria-s OR beer garden-s OR ice cream parlor-s OR lecture room-s OR pier OR restaurant patio-s),4.0
418,((((((object OR object OR object OR object OR object) AND NOT part) OR object) AND NOT scene) OR object) AND NOT object),((((((sofa OR cushion OR cradle OR fireplace OR pillow) AND NOT back) OR coffee table) AND NOT game room-s) OR television) AND NOT wall),7.5
419,((((object OR object) AND scene) OR object OR scene OR object OR part) AND NOT scene),((((toilet OR sink) AND bathroom-s) OR cradle OR sauna-s OR bidet OR lid) AND NOT bedroom-s),5.9
420,((((scene AND object) OR scene OR scene OR object OR object OR object OR scene) AND NOT object) OR scene),((((kitchen-s AND wall) OR closet-s OR pantry-s OR microwave OR cradle OR stove OR kitchenette-s) AND NOT work surface) OR utility room-s),6.3
421,((object OR scene OR object OR scene OR scene OR part OR object OR scene) AND NOT (scene OR scene)),((seat OR cockpit-s OR silver screen OR airplane cabin-s OR car interior-backseat-s OR monitor OR dashboard OR bus interior-s) AND NOT (dinette-vehicle-s OR theater-indoor procenium-s)),5.2
422,(scene OR scene OR scene OR scene OR scene OR scene OR scene OR scene OR scene OR scene),(forest path-s OR crevasse-s OR hot spring-s OR mine-s OR earth fissure-s OR mountain path-s OR excavation-s OR cavern-indoor-s OR flight of stairs-natural-s OR catacomb-s),4.6
423,(scene OR object OR object OR scene OR scene OR scene OR scene OR scene OR object OR scene),(landing deck-s OR runway OR plane OR heliport-s OR moon bounce-s OR sandbar-s OR corn field-s OR slum-s OR caravan OR excavation-s),3.8
424,(scene OR object OR object OR scene OR scene OR object OR object OR scene OR scene OR scene),(windmill-s OR sculpture OR horse OR boxing ring-s OR podium-indoor-s OR dog OR animal OR fire station-s OR topiary garden-s OR cavern-indoor-s),3.0
425,((scene OR object OR object OR scene OR object OR scene OR part) AND NOT object),((cubicle-office-s OR cradle OR computer OR manufactured home-s OR bandstand OR call center-s OR screen) AND NOT cabinet),4.8
426,(((scene OR scene OR scene OR object OR material OR object OR object) AND NOT (object OR object)) OR object),(((bakery-shop-s OR bullring-s OR throne room-s OR carousel OR food OR patty OR chandelier) AND NOT (person OR box)) OR carousel),4.1
427,(scene OR scene OR scene OR scene OR object OR object OR object OR object OR object OR object),(landing deck-s OR heliport-s OR rope bridge-s OR batters box-s OR shirt OR lighthouse OR aircraft carrier OR jacket OR ship OR windmill),4.1
428,(((((scene OR scene OR scene) AND NOT object) OR part OR object OR scene OR scene) AND NOT object) OR object),(((((highway-s OR manhole-s OR crevasse-s) AND NOT sky) OR water tank OR controls OR moat-water-s OR road cut-s) AND NOT sky) OR manhole),3.6
429,((object OR object OR part OR scene OR object) AND NOT (object OR scene OR scene)),((pillow OR tent OR headboard OR crevasse-s OR cushion) AND NOT (sofa OR alcove-s OR dinette-vehicle-s)),4.3
430,((scene OR scene OR scene OR scene OR scene) AND NOT object),((playroom-s OR kindergarden classroom-s OR day care center-s OR courtroom-s OR witness stand-s) AND NOT partition),5.1
431,((scene OR object OR object OR scene OR scene OR scene OR scene) AND NOT (scene OR object OR object)),((operating room-s OR signboard OR computer OR hospital room-s OR dentists office-s OR clean room-s OR airport ticket counter-s) AND NOT (airport terminal-s OR building OR desk)),4.8
432,(scene OR scene OR scene),(attic-s OR cavern-indoor-s OR covered bridge-interior-s),4.4
433,((object OR scene OR scene OR scene OR scene OR scene OR object OR scene OR scene) AND NOT color),((case OR casino-indoor-s OR restaurant patio-s OR restaurant-s OR food court-s OR banquet hall-s OR umbrella OR carrousel-s OR bakery-shop-s) AND NOT black-c),4.5
434,(((object OR object OR object OR scene OR scene OR object OR scene) AND NOT scene) OR scene),(((runway OR plane OR washer OR bowling alley-s OR arrival gate-outdoor-s OR helicopter OR airport-s) AND NOT cockpit-s) OR runway-s),4.6
435,((((scene OR object OR scene OR scene OR object OR scene OR scene) AND NOT scene) OR scene) AND NOT scene),((((childs room-s OR flower OR formal garden-s OR florist shop-indoor-s OR plaything OR catwalk-s OR hat shop-s) AND NOT bedroom-s) OR florist shop-outdoor-s) AND NOT botanical garden-s),4.7
436,((object OR scene OR scene OR scene OR object OR scene OR object) AND NOT scene),((pool table OR beauty salon-s OR television studio-s OR ballroom-s OR swivel chair OR gymnasium-indoor-s OR television camera) AND NOT dining room-s),4.7
437,((((scene OR object) AND NOT object) OR scene OR object) AND NOT object),((((cockpit-s OR plane) AND NOT seat) OR airplane cabin-s OR helicopter) AND NOT ceiling),4.7
438,((scene OR scene OR scene OR object OR scene OR scene OR scene) AND NOT object),((home theater-s OR movie theater-indoor-s OR elevator shaft-s OR stalls OR cavern-indoor-s OR catacomb-s OR wine cellar-barrel storage-s) AND NOT building),4.0
439,(scene OR part OR scene OR scene OR scene OR scene OR object OR object OR object OR object),(bakery-shop-s OR shop window OR bank vault-s OR shopfront-s OR bakery-kitchen-s OR liquor store-outdoor-s OR shop OR display window OR pane of glass OR file cabinet),3.9
440,(((part OR object OR scene OR object OR object OR object OR scene OR scene) AND NOT object) OR object),(((clouds OR aquarium OR forest road-s OR windmill OR plane OR fish OR field road-s OR wheat field-s) AND NOT grass) OR windmill),3.5
441,((((scene OR scene OR scene OR scene OR scene) AND NOT object) OR scene OR scene OR scene) AND NOT object),((((warehouse-indoor-s OR auto factory-s OR hangar-indoor-s OR booth-indoor-s OR covered bridge-interior-s) AND NOT floor) OR auto mechanics-indoor-s OR hangar-indoor-s OR basketball court-indoor-s) AND NOT person),4.2
442,((((((object OR object) AND scene) OR object) AND NOT part) OR scene OR part OR object) AND NOT scene),((((((bed OR cushion) AND bedroom-s) OR pillow) AND NOT footboard) OR church-outdoor-s OR headboard OR eiderdown) AND NOT childs room-s),5.5
443,(((object OR object OR part OR part OR scene OR scene OR object OR object) AND NOT object) OR scene),(((sofa OR water tower OR top OR back OR elevator-door-s OR waiting room-s OR clock OR cradle) AND NOT windowpane) OR topiary garden-s),4.6
444,(object AND NOT (scene OR scene)),(car AND NOT (auto factory-s OR junkyard-s)),5.8
445,((object OR object OR object OR object OR object OR part) AND NOT scene),((pool table OR arcade machine OR slot machine OR table tennis OR table football OR screen) AND NOT computer room-s),5.4
446,(((((object AND scene) OR part OR scene OR scene OR object) AND NOT object) OR object OR part) AND NOT object),(((((car AND street-s) OR shop window OR shopfront-s OR liquor store-outdoor-s OR trade name) AND NOT sidewalk) OR ad OR entrance) AND NOT tree),6.3
447,((object OR scene OR scene) AND NOT (object OR scene OR scene OR object OR object OR scene)),((car OR harbor-s OR call center-s) AND NOT (floor OR parking garage-indoor-s OR junkyard-s OR person OR desk OR assembly line-s)),4.7
448,((((((scene OR scene OR object OR part) AND NOT object) OR scene) AND NOT object) OR scene OR scene) AND NOT object),((((((park-s OR orchard-s OR waterfall OR windshield) AND NOT water) OR creek-s) AND NOT bush) OR ski slope-s OR waterfall-cascade-s) AND NOT bush),4.0
449,((scene OR object OR scene OR scene OR scene OR scene OR scene OR object OR object) AND NOT scene),((youth hostel-s OR bridge OR canal-urban-s OR canal-natural-s OR rope bridge-s OR moat-water-s OR kennel-indoor-s OR pier OR footbridge) AND NOT highway-s),4.8
450,((scene OR scene OR scene OR scene OR scene OR object OR object OR scene OR object) AND NOT object),((windmill-s OR heliport-s OR volleyball court-outdoor-s OR boxing ring-s OR badminton court-outdoor-s OR plane OR helicopter OR wrestling ring-indoor-s OR fan) AND NOT earth),3.9
451,(((object AND color) OR scene OR scene OR scene OR scene OR scene OR object OR scene) AND NOT object),(((tree AND grey-c) OR ski resort-s OR marsh-s OR orchard-s OR wheat field-s OR moor-s OR semidesert ground OR chalet-s) AND NOT sky),4.3
452,(scene OR object OR object OR object OR object),(crevasse-s OR ice OR iceberg OR water tower OR chimney),4.2
453,((((object OR object) AND NOT (object OR object OR scene OR scene)) OR part) AND NOT (scene OR object)),((((car OR van) AND NOT (road OR building OR highway-s OR auto mechanics-indoor-s)) OR windshield) AND NOT (weighbridge-s OR tree)),6.1
454,(scene OR scene OR scene OR scene OR scene OR scene OR object OR scene OR scene OR scene),(forest-needleleaf-s OR forest path-s OR throne room-s OR ski slope-s OR campsite-s OR forest road-s OR lockers OR jail-indoor-s OR bedchamber-s OR elevator lobby-s),3.9
455,(((((object AND scene) OR scene) AND NOT object) OR scene OR object) AND NOT object),(((((car AND street-s) OR pagoda-s) AND NOT sidewalk) OR crosswalk-s OR temple) AND NOT sky),5.1
456,(((((scene OR object OR scene) AND NOT (color OR object OR color)) OR part) AND NOT object) OR object OR object),(((((kitchen-s OR washer OR kitchenette-s) AND NOT (orange-c OR refrigerator OR red-c)) OR top) AND NOT windowpane) OR washer OR washing machines),6.8
457,((scene OR scene OR object OR scene OR object OR scene OR object OR object OR object) AND NOT object),((cloister-indoor-s OR desert-sand-s OR water tower OR covered bridge-interior-s OR viaduct OR fairway-s OR windmill OR semidesert ground OR aqueduct) AND NOT tree),4.0
458,((((scene OR object OR object OR object OR scene OR scene OR scene) AND NOT object) OR object) AND NOT scene),((((coast-s OR river OR bridge OR hovel OR ocean-s OR bayou-s OR bog-s) AND NOT sky) OR bridge) AND NOT river-s),3.8
459,(object OR object OR scene OR object OR object OR object OR scene OR scene OR scene OR scene),(bridge OR aqueduct OR desert-sand-s OR dam OR viaduct OR acropolis OR snowfield-s OR airport-entrance-s OR dam-s OR aqueduct-s),4.3
460,((scene OR scene OR scene OR scene OR scene OR object OR object OR scene OR object) AND NOT object),((sandbox-s OR campsite-s OR archaelogical excavation-s OR excavation-s OR junkyard-s OR shirt OR caravan OR bazaar-indoor-s OR rubble) AND NOT floor),4.1
461,((scene OR scene OR object OR object OR object OR scene) AND NOT scene),((pantry-s OR greenhouse-outdoor-s OR tent OR plaything OR dome OR greenhouse-indoor-s) AND NOT nursery-s),3.9
462,((((object OR scene OR object OR scene OR scene OR object OR scene) AND NOT object) OR object) AND NOT scene),((((snow OR ski resort-s OR ice OR ice skating rink-outdoor-s OR ski slope-s OR iceberg OR snowfield-s) AND NOT sky) OR ice rink) AND NOT mountain snowy-s),4.7
463,((((((object OR object) AND NOT object) OR object OR scene) AND color) OR object OR scene) AND NOT (scene OR object)),((((((grass OR pitch) AND NOT tree) OR central reservation OR batters box-s) AND green-c) OR pitch OR runway-s) AND NOT (golf course-s OR plant)),5.1
464,((part OR object OR scene OR scene OR object) AND NOT (object OR object)),((crosswalk OR aircraft carrier OR crosswalk-s OR runway-s OR tennis court) AND NOT (grass OR sea)),5.9
465,((((object OR object OR object OR object OR object OR part) AND NOT scene) OR object OR object) AND NOT color),((((toilet OR tent OR swivel chair OR canopy OR pillow OR headboard) AND NOT hotel room-s) OR sink OR bowl) AND NOT orange-c),6.0
466,(((object OR scene OR scene OR scene OR scene OR scene OR scene OR object) AND NOT object) OR scene),(((grandstand OR rope bridge-s OR cockpit-s OR movie theater-outdoor-s OR bullring-s OR bullpen-s OR amusement park-s OR bandstand) AND NOT person) OR rope bridge-s),3.8
467,((object OR scene OR scene OR scene OR scene OR object OR scene OR scene OR scene) AND NOT object),((swimming pool OR jacuzzi-indoor-s OR jacuzzi-outdoor-s OR aquatic theater-s OR swimming pool-indoor-s OR pool OR hot tub-outdoor-s OR swimming pool-outdoor-s OR hot tub-indoor-s) AND NOT sea),5.6
468,(scene OR scene OR object OR scene OR scene OR object OR object OR scene OR object OR object),(rope bridge-s OR volleyball court-outdoor-s OR net OR boxing ring-s OR wrestling ring-indoor-s OR tennis court OR grille door OR badminton court-outdoor-s OR grill OR cage),5.0
469,((((scene OR object OR scene OR scene) AND NOT scene) OR object) AND NOT object),((((bowling alley-s OR court OR bleachers-indoor-s OR hayfield-s) AND NOT badminton court-indoor-s) OR tennis court) AND NOT earth),4.5
470,(object OR scene OR scene OR scene OR scene OR scene OR object OR object OR scene OR scene),(pool table OR auto mechanics-indoor-s OR television studio-s OR catwalk-s OR wrestling ring-indoor-s OR music studio-s OR television camera OR grand piano OR martial arts gym-s OR boxing ring-s),3.6
471,((scene OR scene OR scene OR scene OR object OR scene OR scene OR object OR scene) AND NOT object),((parking garage-indoor-s OR covered bridge-interior-s OR elevator shaft-s OR mine-s OR bell OR archaelogical excavation-s OR bakery-kitchen-s OR machinery OR construction site-s) AND NOT building),4.1
472,(((object OR object OR object OR object OR scene OR object OR object) AND NOT object) OR scene OR scene),(((person OR ice OR fountain OR iceberg OR crevasse-s OR dome OR tent) AND NOT person) OR martial arts gym-s OR clean room-s),3.7
473,(((scene OR object OR object) AND NOT object) OR object),(((nursery-s OR cradle OR lake) AND NOT bed) OR windmill),4.7
474,(((object OR scene OR part OR scene OR object OR scene) AND NOT object) OR object OR scene OR object),(((cradle OR locker room-s OR drawer OR kennel-indoor-s OR file cabinet OR fitting room-exterior-s) AND NOT cabinet) OR railroad train OR elevator-freight elevator-s OR lockers),4.5
475,(scene OR scene OR object OR scene OR scene OR scene OR scene OR scene OR object OR scene),(hoodoo-s OR cloister-indoor-s OR acropolis OR ruin-s OR cavern-indoor-s OR gulch-s OR canyon-s OR badlands-s OR ruins OR catacomb-s),4.3
476,((((object OR object OR object OR scene OR object) AND NOT scene) OR object) AND NOT (scene OR scene OR scene)),((((desk OR computer OR swivel chair OR cubicle-office-s OR document) AND NOT conference room-s) OR laptop) AND NOT (dorm room-s OR living room-s OR kitchen-s)),5.8
477,((((object OR scene OR scene OR scene OR object OR scene) AND NOT object) OR object) AND NOT (object OR scene)),((((skyscraper OR plaza-s OR quadrangle-s OR campus-s OR fountain OR casino-outdoor-s) AND NOT sky) OR skyscraper) AND NOT (tree OR building facade-s)),6.9
478,(scene OR scene OR scene OR scene OR object OR scene OR scene OR object OR object OR object),(bus interior-s OR cockpit-s OR airplane cabin-s OR limousine interior-s OR dashboard OR car interior-backseat-s OR pilothouse-indoor-s OR steering wheel OR bandstand OR windscreen),4.4
479,((((scene OR scene OR part OR part OR object) AND NOT (scene OR scene)) OR part) AND NOT (object OR scene)),((((airplane cabin-s OR bus interior-s OR seat cushion OR back pillow OR escalator) AND NOT (dinette-vehicle-s OR airport terminal-s)) OR seat base) AND NOT (table OR car interior-backseat-s)),4.6
480,(((scene OR object OR scene OR scene) AND NOT object) OR object OR object OR object OR scene OR object),(((harbor-s OR autobus OR ski resort-s OR slum-s) AND NOT sky) OR windmill OR steam shovel OR ship OR slum-s OR ice),4.3
481,((color AND object) OR scene OR scene OR scene OR scene OR scene OR scene OR scene OR object),((green-c AND windowpane) OR herb garden-s OR yard-s OR rope bridge-s OR fishpond-s OR sandbox-s OR lean-to-s OR archaelogical excavation-s OR bandstand),4.3
482,(((object OR scene OR scene OR scene OR object OR object OR object OR scene) AND NOT object) OR scene),(((swivel chair OR bullring-s OR auditorium-s OR amphitheater-s OR animal OR silver screen OR horse OR beauty salon-s) AND NOT wall) OR bullring-s),4.3
483,((((((object OR object OR scene) AND NOT color) OR object) AND NOT scene) OR object) AND NOT (scene OR scene OR object)),((((((water OR river OR canal-urban-s) AND NOT blue-c) OR pond) AND NOT creek-s) OR lake) AND NOT (flood-s OR coast-s OR earth)),6.7
